,LEGALS,SCORE
2381,unfair competition,1.0
2382,unified estate and gift tax,1.0
2383,Uniform Commercial Code,1.0
2384,unilateral contract,1.0
2385,uninsured motorist clause,1.0
2386,unissued stock,1.0
2387,unjust enrichment,1.0
2388,unlawful,1.0
2389,unlawful assembly,1.0
2390,unlawful detainer,1.0
2391,unreasonable search and seizure,1.0
2392,use,1.0
2393,use tax,1.0
2394,usurious,1.0
2395,usury,1.0
2396,utter,1.0
2397,uxor,1.0
2398,vacate,1.0
2399,vagrancy,1.0
2400,valuable consideration,1.0
2401,variance,1.0
2402,vehicular manslaughter,1.0
2403,vendee,1.0
2404,vendor,1.0
2405,venire,1.0
2406,venue,1.0
2407,verdict,1.0
2408,verification,1.0
2409,vest,1.0
2410,vested,1.0
2411,vested remainder,1.0
2412,vexatious litigation,1.0
2413,vicarious liability,1.0
2414,vigilante,1.0
2415,viz,1.0
2416,void,1.0
2417,void for vagueness,1.0
2418,voidable,1.0
2419,voir dire,1.0
2420,voluntary bankruptcy,1.0
2421,voting trust,1.0
2422,waive,1.0
2423,waiver,1.0
2424,wanton,1.0
2425,ward,1.0
2426,warrant,1.0
2427,warranty,1.0
2428,warranty deed,1.0
2429,waste,1.0
2430,watered stock,1.0
2431,weight of evidence,1.0
2432,wet reckless,1.0
2433,whiplash,1.0
2434,white collar crime,1.0
2435,widow,1.0
2436,widow's election,1.0
2437,widower,1.0
2438,will,1.0
2439,will contest,1.0
2440,willful,1.0
2441,willfully,1.0
2442,wind up,1.0
2443,winding up,1.0
2444,wiretap,1.0
2445,withdrawal,1.0
2446,witness,1.0
2447,witness stand,1.0
2448,words of art,1.0
2449,work product,1.0
2450,Workers' Compensation Acts,1.0
2451,Workmen's Compensation,1.0
2452,World Court,1.0
2453,writ,1.0
2454,writ of attachment,1.0
2455,writ of coram nobis,1.0
2456,writ of execution,1.0
2457,writ of mandate,1.0
2458,wrongful death,1.0
2459,wrongful termination,1.0
2460,your honor,1.0
2461,youthful offenders,1.0
2462,zoning,1.0
